Date,BTCTrend
2017-02-18,4.86
2017-02-19,5.00
2017-02-20,5.14
2017-02-21,5.29
2017-02-22,5.43
2017-02-23,5.57
2017-02-24,5.71
2017-02-25,5.86
2017-02-26,6.00
2017-02-27,6.00
2017-02-28,6.00
2017-03-01,6.00
2017-03-02,6.00
2017-03-03,6.00
2017-03-04,6.00
2017-03-05,6.00
2017-03-06,6.00
2017-03-07,6.00
2017-03-08,6.00
2017-03-09,6.00
2017-03-10,6.00
2017-03-11,6.00
2017-03-12,6.00
2017-03-13,5.86
2017-03-14,5.71
2017-03-15,5.57
2017-03-16,5.43
2017-03-17,5.29
2017-03-18,5.14
2017-03-19,5.00
2017-03-20,5.00
2017-03-21,5.00
2017-03-22,5.00
2017-03-23,5.00
2017-03-24,5.00
2017-03-25,5.00
2017-03-26,5.00
2017-03-27,5.00
2017-03-28,5.00
2017-03-29,5.00
2017-03-30,5.00
2017-03-31,5.00
2017-04-01,5.00
2017-04-02,5.00
2017-04-03,5.00
2017-04-04,5.00
2017-04-05,5.00
2017-04-06,5.00
2017-04-07,5.00
2017-04-08,5.00
2017-04-09,5.00
2017-04-10,5.00
2017-04-11,5.00
2017-04-12,5.00
2017-04-13,5.00
2017-04-14,5.00
2017-04-15,5.00
2017-04-16,5.00
2017-04-17,5.00
2017-04-18,5.00
2017-04-19,5.00
2017-04-20,5.00
2017-04-21,5.00
2017-04-22,5.00
2017-04-23,5.00
2017-04-24,5.29
2017-04-25,5.57
2017-04-26,5.86
2017-04-27,6.14
2017-04-28,6.43
2017-04-29,6.71
2017-04-30,7.00
2017-05-01,7.43
2017-05-02,7.86
2017-05-03,8.29
2017-05-04,8.71
2017-05-05,9.14
2017-05-06,9.57
2017-05-07,10.00
2017-05-08,10.14
2017-05-09,10.29
2017-05-10,10.43
2017-05-11,10.57
2017-05-12,10.71
2017-05-13,10.86
2017-05-14,11.00
2017-05-15,12.14
2017-05-16,13.29
2017-05-17,14.43
2017-05-18,15.57
2017-05-19,16.71
2017-05-20,17.86
2017-05-21,19.00
2017-05-22,18.00
2017-05-23,17.00
2017-05-24,16.00
2017-05-25,15.00
2017-05-26,14.00
2017-05-27,13.00
2017-05-28,12.00
2017-05-29,12.00
2017-05-30,12.00
2017-05-31,12.00
2017-06-01,12.00
2017-06-02,12.00
2017-06-03,12.00
2017-06-04,12.00
2017-06-05,12.14
2017-06-06,12.29
2017-06-07,12.43
2017-06-08,12.57
2017-06-09,12.71
2017-06-10,12.86
2017-06-11,13.00
2017-06-12,12.71
2017-06-13,12.43
2017-06-14,12.14
2017-06-15,11.86
2017-06-16,11.57
2017-06-17,11.29
2017-06-18,11.00
2017-06-19,11.00
2017-06-20,11.00
2017-06-21,11.00
2017-06-22,11.00
2017-06-23,11.00
2017-06-24,11.00
2017-06-25,11.00
2017-06-26,10.71
2017-06-27,10.43
2017-06-28,10.14
2017-06-29,9.86
2017-06-30,9.57
2017-07-01,9.29
2017-07-02,9.00
2017-07-03,9.14
2017-07-04,9.29
2017-07-05,9.43
2017-07-06,9.57
2017-07-07,9.71
2017-07-08,9.86
2017-07-09,10.00
2017-07-10,10.29
2017-07-11,10.57
2017-07-12,10.86
2017-07-13,11.14
2017-07-14,11.43
2017-07-15,11.71
2017-07-16,12.00
2017-07-17,11.86
2017-07-18,11.71
2017-07-19,11.57
2017-07-20,11.43
2017-07-21,11.29
2017-07-22,11.14
2017-07-23,11.00
2017-07-24,11.57
2017-07-25,12.14
2017-07-26,12.71
2017-07-27,13.29
2017-07-28,13.86
2017-07-29,14.43
2017-07-30,15.00
2017-07-31,14.86
2017-08-01,14.71
2017-08-02,14.57
2017-08-03,14.43
2017-08-04,14.29
2017-08-05,14.14
2017-08-06,14.00
2017-08-07,14.86
2017-08-08,15.71
2017-08-09,16.57
2017-08-10,17.43
2017-08-11,18.29
2017-08-12,19.14
2017-08-13,20.00
2017-08-14,19.43
2017-08-15,18.86
2017-08-16,18.29
2017-08-17,17.71
2017-08-18,17.14
2017-08-19,16.57
2017-08-20,16.00
2017-08-21,16.14
2017-08-22,16.29
2017-08-23,16.43
2017-08-24,16.57
2017-08-25,16.71
2017-08-26,16.86
2017-08-27,17.00
2017-08-28,17.14
2017-08-29,17.29
2017-08-30,17.43
2017-08-31,17.57
2017-09-01,17.71
2017-09-02,17.86
2017-09-03,18.00
2017-09-04,18.43
2017-09-05,18.86
2017-09-06,19.29
2017-09-07,19.71
2017-09-08,20.14
2017-09-09,20.57
2017-09-10,21.00
2017-09-11,20.29
2017-09-12,19.57
2017-09-13,18.86
2017-09-14,18.14
2017-09-15,17.43
2017-09-16,16.71
2017-09-17,16.00
2017-09-18,15.57
2017-09-19,15.14
2017-09-20,14.71
2017-09-21,14.29
2017-09-22,13.86
2017-09-23,13.43
2017-09-24,13.00
2017-09-25,12.86
2017-09-26,12.71
2017-09-27,12.57
2017-09-28,12.43
2017-09-29,12.29
2017-09-30,12.14
2017-10-01,12.00
2017-10-02,13.00
2017-10-03,14.00
2017-10-04,15.00
2017-10-05,16.00
2017-10-06,17.00
2017-10-07,18.00
2017-10-08,19.00
2017-10-09,19.00
2017-10-10,19.00
2017-10-11,19.00
2017-10-12,19.00
2017-10-13,19.00
2017-10-14,19.00
2017-10-15,19.00
2017-10-16,19.14
2017-10-17,19.29
2017-10-18,19.43
2017-10-19,19.57
2017-10-20,19.71
2017-10-21,19.86
2017-10-22,20.00
